Banco Central de Chile - Indicadores diarios - Unidad de fomento (UF) (Pesos) - Año 2020;;
;;
Dia;Valor;
1/1/2020;28.310,86;
2/1/2020;28.311,77;
3/1/2020;28.312,68;
4/1/2020;28.313,60;
5/1/2020;28.314,51;
6/1/2020;28.315,42;
7/1/2020;28.316,33;
8/1/2020;28.317,25;
9/1/2020;28.318,16;
10/1/2020;28.319,07;
11/1/2020;28.319,99;
12/1/2020;28.320,90;
13/1/2020;28.321,81;
14/1/2020;28.322,73;
15/1/2020;28.323,64;
16/1/2020;28.324,55;
17/1/2020;28.325,47;
18/1/2020;28.326,38;
19/1/2020;28.327,29;
20/1/2020;28.328,21;
21/1/2020;28.329,12;
22/1/2020;28.330,03;
23/1/2020;28.330,95;
24/1/2020;28.331,86;
25/1/2020;28.332,77;
26/1/2020;28.333,69;
27/1/2020;28.334,60;
28/1/2020;28.335,51;
29/1/2020;28.336,43;
30/1/2020;28.337,34;
31/1/2020;28.338,25;
1/2/2020;28.339,17;
2/2/2020;28.340,08;
3/2/2020;28.341,00;
4/2/2020;28.341,91;
5/2/2020;28.342,82;
6/2/2020;28.343,74;
7/2/2020;28.344,65;
8/2/2020;28.345,56;
9/2/2020;28.346,48;
10/2/2020;28.352,33;
11/2/2020;28.358,18;
12/2/2020;28.364,03;
13/2/2020;28.369,88;
14/2/2020;28.375,73;
15/2/2020;28.381,59;
16/2/2020;28.387,44;
17/2/2020;28.393,30;
18/2/2020;28.399,15;
19/2/2020;28.405,01;
20/2/2020;28.410,87;
21/2/2020;28.416,73;
22/2/2020;28.422,60;
23/2/2020;28.428,46;
24/2/2020;28.434,32;
25/2/2020;28.440,19;
26/2/2020;28.446,06;
27/2/2020;28.451,93;
28/2/2020;28.457,80;
29/2/2020;28.463,67;
1/3/2020;28.469,54;
2/3/2020;28.475,41;
3/3/2020;28.481,29;
4/3/2020;28.487,16;
5/3/2020;28.493,04;
6/3/2020;28.498,92;
7/3/2020;28.504,80;
8/3/2020;28.510,68;
9/3/2020;28.516,56;
10/3/2020;28.520,23;
11/3/2020;28.523,91;
12/3/2020;28.527,58;
13/3/2020;28.531,25;
14/3/2020;28.534,93;
15/3/2020;28.538,60;
16/3/2020;28.542,28;
17/3/2020;28.545,95;
18/3/2020;28.549,63;
19/3/2020;28.553,31;
20/3/2020;28.556,98;
21/3/2020;28.560,66;
22/3/2020;28.564,34;
23/3/2020;28.568,02;
24/3/2020;28.571,70;
25/3/2020;28.575,38;
26/3/2020;28.579,06;
27/3/2020;28.582,74;
28/3/2020;28.586,42;
29/3/2020;28.590,10;
30/3/2020;28.593,78;
31/3/2020;28.597,46;
1/4/2020;28.601,15;
2/4/2020;28.604,83;
3/4/2020;28.608,51;
4/4/2020;28.612,20;
5/4/2020;28.615,88;
6/4/2020;28.619,57;
7/4/2020;28.623,25;
8/4/2020;28.626,94;
9/4/2020;28.630,63;
;;
